Descrição|Valor Original|Valor à Vista
Computador Pichau Gamer, Intel i5-13400, GeForce GTX 1660 Super 6GB, 16GB DDR4, SSD 480GB|R$ 6.633,20|R$ 4.329,75
Computador Mancer Gamer Erotes, Intel i5-13400F, GeForce GTX 1660 Super 6GB, 16GB DDR4, SSD 480GB|R$ 6.292,80|R$ 3.859,95
Computador Gamer Pichau, Intel i5-10400, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 5.149,70|R$ 3.159,90
Computador Pichau Gamer, Intel i5-12400, GeForce RTX 4060 8GB, 16GB DDR4, SSD 240GB|R$ 8.131,80|R$ 4.549,99
Computador Pichau Gamer, Intel i5-12400, GeForce RTX 4060 Ti 8GB, 16GB DDR4, SSD 240GB|R$ 9.362,80|R$ 5.415,00
Computador Pichau Gamer, Intel i5-12400, Radeon RX 6650 XT 8GB, 8GB DDR4, SSD 240GB|R$ 6.923,80|R$ 3.849,99
Computador Pichau Gamer, Intel i5-12400, Radeon RX 6650 XT 8GB, 16GB DDR4, SSD 480GB|R$ 7.268,80|R$ 4.049,99
Computador Pichau Gamer, Intel i5-12400, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 5.692,80|R$ 3.469,99
Computador Pichau Gamer, Intel i5-12400, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 5.301,80|R$ 3.229,99
Computador Pichau Gamer Tefnut II, Intel i5-8500, GeForce GTX 1660 Super 6GB, 16GB DDR4, SSD 480GB|R$ 4.823,10|R$ 2.999,97
Computador Pichau Gamer, Intel i5-8500, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 4.271,10|R$ 2.659,97
Computador Pichau Gamer, Intel i5-10400F, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 4.382,80|R$ 2.666,90
Computador Pichau Gamer, AMD Ryzen 5 5600X, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 5.131,30|R$ 3.129,99
Computador Pichau Gamer, AMD Ryzen 5 5600G, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 4.981,80|R$ 3.099,99
Computador Pichau Gamer, Intel i5-10400F, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 4.693,80|R$ 2.857,90
Computador Pichau Gamer, AMD Ryzen 5 5600X, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 5.439,50|R$ 3.399,99
Computador Pichau Gamer, AMD Ryzen 5 5600, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 4.830,00|R$ 2.999,99
Computador Pichau Gamer, AMD Ryzen 5 5500, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 4.393,00|R$ 2.769,99
Computador Pichau Gamer, AMD Ryzen 5 5600, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 4.717,30|R$ 2.899,99
Computador Pichau Gamer, AMD Ryzen 7 5700G, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 5.623,50|R$ 3.549,99
Computador Pichau Gamer, AMD Ryzen 5 5500, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 4.257,30|R$ 2.599,99
Computador Pichau Gamer, AMD Ryzen 5 4600G, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 4.234,30|R$ 2.599,99
Computador Gamer Pichau Hefesto II, Intel i5-10400F, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 4.643,70|R$ 2.859,92
Computador Pichau Gamer, AMD Ryzen 5 5600G, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 5.232,50|R$ 3.339,99
Computador Pichau Gamer, AMD Ryzen 3 4100, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 3.682,30|R$ 2.249,99
Computador Gamer Pichau Hefesto, Intel i5-10400F, Radeon RX 5500 XT 8GB, 8GB DDR4, SSD 240GB|R$ 4.298,70|R$ 2.629,87
Computador Pichau Gamer, AMD Ryzen 5 4600G, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 4.565,50|R$ 2.779,99
Computador Pichau Highflyer, AMD Ryzen 7 7800X3D, GeForce RTX 4080 16GB, 32GB DDR5, SSD M.2 2TB|R$ 35.026,72|R$ 20.999,99
Computador Pichau Gamer Halley, AMD Ryzen 5 5600, GeForce RTX 4060 8GB, 16GB DDR4, SSD M.2 240GB|R$ 8.155,80|R$ 4.729,99
Computador Pichau Gamer, AMD Ryzen 5 7600X, GeForce RTX 4060 8GB, 16GB DDR5, SSD M.2 480GB|R$ 11.203,30|R$ 6.556,91
Computador Pichau Gamer Tânatos V, AMD Ryzen 7 7800X3D, GeForce RTX 4080 16GB, 32GB DDR5, SSD M.2 1TB + SSD 1TB|R$ 28.370,50|R$ 17.899,98
Computador Mancer Gamer, Intel i3-12100F, GeForce GTX 1660 Super 6GB, 16GB DDR4, SSD 480GB|R$ 5.241,70|R$ 3.419,64
Computador Pichau Gamer, Intel i5-12400F, GeForce GTX 1660 Super 6GB, 16GB DDR4, SSD M.2 480GB|R$ 5.690,20|R$ 3.639,50
