Descrição|Valor Original|Valor à Vista
Computador Pichau Gamer, Intel i5-11400F, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD M.2 480GB|R$ 4.878,30|R$ 3.049,96|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 7600, Radeon RX 7600 8GB, 16GB DDR5, SSD M.2 480GB|R$ 9.535,80|R$ 5.569,99|no PIX com 15% desconto
Computador Pichau Gamer, Intel i3-10100, GeForce RTX 3060 8GB, 16GB DDR4, SSD M.2 480GB|R$ 6.407,80|R$ 3.889,82|no PIX com 15% desconto
Computador Pichau Gamer Máni II, Intel i3-13100F, GeForce RTX 4060 8GB, 16GB DDR4, SSD 480GB|R$ 7.081,70|R$ 4.299,83|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5500, Radeon RX 7600 8GB, 16GB DDR4, SSD 240GB|R$ 6.741,30|R$ 3.899,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5600, Radeon RX 7600 8GB, 16GB DDR4, SSD M.2 240GB|R$ 7.247,30|R$ 4.199,99|no PIX com 15% desconto
Computador Pichau Gamer, Intel i5-8500, GeForce GTX 1050 Ti, 8GB DDR4, SSD 240GB|R$ 3.659,30|R$ 2.229,95|no PIX com 15% desconto
Computador Pichau Gamer Fatality, Intel i7-13700KF, Intel ARC A770 16GB, 16GB DDR5, SSD M.2 1TB|R$ 16.769,31|R$ 10.199,39|no PIX com 15% desconto
Computador Pichau Gamer, Intel i3-10100F, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 4.195,20|R$ 2.559,62|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 3600, GeForce RTX 4060 8GB, 16GB DDR4, SSD 240GB|R$ 6.679,20|R$ 3.899,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5500, GeForce RTX 4060 8GB, 16GB DDR4, SSD M.2 240GB|R$ 6.879,30|R$ 3.979,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 7 5700G, GeForce RTX 4070 12GB, 16GB DDR4, SSD M.2 480GB|R$ 12.698,30|R$ 7.459,99|no PIX com 15% desconto
Computador Mancer Gamer, Intel i5-12400F, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 5.172,70|R$ 3.159,85|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 7 5700G, Geforce RTX 4060 TI 8GB, 16GB DDR4, SSD M.2 240GB|R$ 10.363,80|R$ 5.999,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 7 5700G, Geforce RTX 4060 8GB, 16GB DDR4, SSD M.2 480GB|R$ 8.868,80|R$ 5.129,99|no PIX com 15% desconto
Computador Mancer Gamer, Intel i5-12400F, GeForce RTX 2060 6GB, 16GB DDR4, SSD 480GB|R$ 5.805,20|R$ 3.559,85|no PIX com 15% desconto
Computador Pichau Gamer, Intel i5-12400F, GeForce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 5.241,70|R$ 3.199,72|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5600X, GeForce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 5.393,50|R$ 3.399,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5600G, GeForce GTX 1060 6GB, 16GB DDR4, SSD 240GB|R$ 5.016,30|R$ 3.099,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5600, GeForce GTX 1060 6GB, 16GB DDR4, SSD 240GB|R$ 4.855,30|R$ 2.999,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 4600G, GeForce GTX 1060 6GB, 16GB DDR4, SSD 240GB|R$ 4.418,30|R$ 2.699,99|no PIX com 15% desconto
Computador Pichau Gamer, Intel i5-8500, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 240GB|R$ 4.273,00|R$ 2.599,90|no PIX com 15% desconto
